,player_international,actual_team,number,Name,Nationalite,mois_de_naissance,jour_de_naissance,anne_de_naissance,age_actuel,taille_en_m,Poste,Pied_fort,id,Unnamed: 0,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,dico_fifa,Dribbling,Marking,Aggression,Reactions,Interceptions,Vision,Composure,Crossing,Acceleration,Strength,Balance,Agility,Penalties,Volleys,Power,Jumping,Heading,Curve,Injury,Finishing,player_value
257,True, Olympique lyonnais (entraîneur des gardiens),,Rémy René Paul Vercoutre, Français,juin,26,1980,42,"1,85",Gardien de but,Droit[1],3520,337,Rémy Vercoutre,35,3103,0,0.0,0,0.0331416986882686,0,1,1,1,GK,Caen,0,0.0,2.403646249324084,2.370504278689623,"{'Dribbling': '12', 'Marking': '12', 'Aggression': '25', 'Reactions': '70', 'Interceptions': '27', 'Vision': '31', 'Composure': '20', 'Crossing': '10', 'Acceleration': '35', 'Stamina': '26', 'Strength': '63', 'Balance': '44', 'Agility': '31', 'Jumping': '58', 'Heading': '10', 'Finishing': '10', 'Curve': '11', 'Penalties': '23', 'Volleys': '10', 'Team': 'Player'}",12.0,12,25.0,70.0,27.0,31.0,20.0,10.0,35.0,63.0,,31.0,23.0,10.0,,58.0,10.0,11.0,,10.0,-
258,False,,,, Français,novembre,8,1985,37,"1,78","Milieu gauche, latéral gauche",Gauche,3525,338,Vincent Bessat,24,1560,0,0.3820401318371296,1,1.10361491702497,17,19,2,0,D M S,Caen,0,0.3820401318371296,2.709676068276167,1.9061550591140983,"{'Dribbling': '73', 'Marking': '71', 'Aggression': '62', 'Reactions': '76', 'Interceptions': '46', 'Vision': '74', 'Composure': '71', 'Crossing': '76', 'Acceleration': '74', 'Stamina': '62', 'Strength': '70', 'Balance': '74', 'Agility': '76', 'Jumping': '73', 'Heading': '53', 'Finishing': '58', 'Curve': '54', 'Penalties': '58', 'Volleys': '62'}",73.0,71,62.0,76.0,46.0,74.0,71.0,76.0,74.0,70.0,,76.0,58.0,62.0,,73.0,53.0,54.0,,58.0,-
259,True,,,, Français,juillet,5,1982,40,"1,87",Milieu de terrain,Droit,3527,339,Julien Féret,37,3083,0,0.7045417055487633,1,5.930221891961992,27,70,3,0,M S,Caen,0,0.7045417055487633,8.681270878762007,6.3201137855648994,"{'Dribbling': '68', 'Marking': '56', 'Aggression': '58', 'Reactions': '70', 'Interceptions': '57', 'Vision': '75', 'Composure': '70', 'Crossing': '71', 'Acceleration': '47', 'Stamina': '61', 'Strength': '66', 'Balance': '63', 'Agility': '62', 'Jumping': '60', 'Heading': '59', 'Finishing': '61', 'Curve': '72', 'Penalties': '70', 'Volleys': '60', 'Finesse': 'Shot', 'Team': 'Player'}",68.0,56,58.0,70.0,57.0,75.0,70.0,71.0,47.0,66.0,,62.0,70.0,60.0,,60.0,59.0,72.0,,61.0,-
260,True, Udinese Calcio,6,Jean-Victor Makengo, Français,juin,12,1998,24,"1,80",Milieu de terrain,Gauche,3536,341,Jean-Victor Makengo,5,243,0,0.1274534966796636,0,0.0,2,0,1,0,F S,Nice,0,0.1274534966796636,0.2754409033805132,0.176389904692769,"{'Dribbling': '72', 'Marking': 'None', 'Aggression': '69', 'Reactions': '69', 'Interceptions': '69', 'Vision': '68', 'Composure': '70', 'Crossing': '69', 'Acceleration': '70', 'Stamina': '73', 'Strength': '69', 'Balance': '70', 'Agility': '65', 'Jumping': '62', 'Heading': '70', 'Finishing': '60', 'Curve': '66', 'Penalties': '59', 'Volleys': '69'}",72.0,None,69.0,69.0,69.0,68.0,70.0,69.0,70.0,69.0,,65.0,59.0,69.0,,62.0,70.0,66.0,,60.0,"7,50 mio. €"
261,True, FC Lupinu,-,, Française,décembre,7,1986,36,"1,70",Milieu de terrain/Arrière latéral gauche,Gauche,3546,344,Julian Palmieri,14,1058,0,0.1399010028690099,0,0.3787167994305491,4,8,4,1,D F S,Metz,0,0.1399010028690099,3.182115945965052,2.796099368482828,"{'Dribbling': '71', 'Marking': '70', 'Aggression': '88', 'Reactions': '67', 'Interceptions': '67', 'Vision': '68', 'Composure': '70', 'Crossing': '72', 'Acceleration': '70', 'Stamina': '65', 'Strength': '64', 'Balance': '83', 'Agility': '73', 'Jumping': '71', 'Heading': '57', 'Finishing': '59', 'Curve': '70', 'Penalties': '61', 'Volleys': '52'}",71.0,70,88.0,67.0,67.0,68.0,70.0,72.0,70.0,64.0,,73.0,61.0,52.0,,71.0,57.0,70.0,,59.0,-
262,False, Torino FC,26,, Français   Ivoirien,novembre,30,1992,30,"1,84",Défenseur central,,3550,345,Koffi Djidji,29,2418,0,0.3294280990958214,0,0.2650003954768181,9,5,2,0,D S,Nantes,0,0.3294280990958214,1.951089064590633,1.6029344582930207,"{'Dribbling': '62', 'Marking': 'None', 'Aggression': '73', 'Reactions': '68', 'Interceptions': '71', 'Vision': '42', 'Composure': '71', 'Crossing': '46', 'Acceleration': '59', 'Stamina': '61', 'Strength': '70', 'Balance': '63', 'Agility': '61', 'Jumping': '75', 'Heading': '69', 'Finishing': '26', 'Curve': '28', 'Penalties': '41', 'Volleys': '26', 'Injury': 'Prone'}",62.0,None,73.0,68.0,71.0,42.0,71.0,46.0,59.0,70.0,,61.0,41.0,26.0,,75.0,69.0,28.0,Prone,26.0,"3,00 mio. €"
263,True, Paris Saint-Germain,6,, Italien,novembre,5,1992,30,"1,70",Milieu de terrain,Droit,3552,346,Marco Verratti,22,1728,0,0.3777225017547607,3,1.942617512308061,8,28,8,1,M S,Paris Saint Germain,0,0.3777225017547607,12.531038019806148,11.354255098849537,"{'Dribbling': '91', 'Marking': 'None', 'Aggression': '89', 'Reactions': '87', 'Interceptions': '85', 'Vision': '89', 'Composure': '94', 'Crossing': '82', 'Acceleration': '65', 'Stamina': '75', 'Strength': '53', 'Balance': '93', 'Agility': '90', 'Jumping': '66', 'Heading': '57', 'Finishing': '60', 'Curve': '85', 'Penalties': '64', 'Volleys': '64', 'Injury': 'Prone'}",91.0,None,89.0,87.0,85.0,89.0,94.0,82.0,65.0,53.0,,90.0,64.0,64.0,,66.0,57.0,85.0,Prone,60.0,"50,00 mio. €"
264,True,,,Christophe Jean-Pierre Jallet, Français,octobre,31,1983,39,"1,78",Arrière droit,Droit,3566,348,Christophe Jallet,15,1174,0,0.1932938937097787,0,0.6393207348883152,5,9,4,0,D S,Nice,0,0.1932938937097787,4.173051107674837,3.843675823882222,"{'Dribbling': '69', 'Marking': '75', 'Aggression': '75', 'Reactions': '72', 'Interceptions': '73', 'Vision': '74', 'Composure': '78', 'Crossing': '77', 'Acceleration': '54', 'Stamina': '65', 'Strength': '66', 'Balance': '74', 'Agility': '66', 'Jumping': '72', 'Heading': '70', 'Finishing': '50', 'Curve': '74', 'Penalties': '65', 'Volleys': '68', 'Injury': 'Prone', 'Early': 'Crosser', 'Team': 'Player'}",69.0,75,75.0,72.0,73.0,74.0,78.0,77.0,54.0,66.0,,66.0,65.0,68.0,,72.0,70.0,74.0,Prone,50.0,-
265,True, Paris Saint-Germain,3,, Français,août,13,1995,27,"1,89",Défenseur central,Gauche,3599,350,Presnel Kimpembe,28,2424,0,1.1392522044479847,0,0.1665146984159946,12,4,6,2,D S,Paris Saint Germain,0,1.1392522044479847,16.434255721978843,16.375909718684852,"{'Dribbling': '63', 'Marking': 'None', 'Aggression': '90', 'Reactions': '80', 'Interceptions': '84', 'Vision': '64', 'Composure': '79', 'Crossing': '59', 'Acceleration': '79', 'Stamina': '79', 'Strength': '88', 'Balance': '59', 'Agility': '68', 'Jumping': '79', 'Heading': '80', 'Finishing': '33', 'Curve': '50', 'Penalties': '52', 'Volleys': '33', 'Team': 'Player'}",63.0,None,90.0,80.0,84.0,64.0,79.0,59.0,79.0,88.0,,68.0,52.0,33.0,,79.0,80.0,50.0,,33.0,"40,00 mio. €"
266,True, En avant Guingamp (coordinateur sportif),,, Français,août,5,1983,39,"1,83",Défenseur central,Droit,3618,351,Jérémy Sorbon,29,2610,0,0.5181733146309853,0,0.1622039023786783,4,3,0,0,D,Guingamp,0,0.5181733146309853,3.004304610192776,2.967105709016323,"{'Dribbling': '34', 'Marking': '69', 'Aggression': '69', 'Reactions': '64', 'Interceptions': '69', 'Vision': '51', 'Composure': '65', 'Crossing': '55', 'Acceleration': '29', 'Stamina': '45', 'Strength': '74', 'Balance': '67', 'Agility': '43', 'Jumping': '62', 'Heading': '67', 'Finishing': '34', 'Curve': '40', 'Penalties': '39', 'Volleys': '23', 'Solid': 'Player', 'Team': 'Player'}",34.0,69,69.0,64.0,69.0,51.0,65.0,55.0,29.0,74.0,,43.0,39.0,23.0,,62.0,67.0,40.0,,34.0,-
